,Date,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,SP500,T10Y3M,OBMMIJUMBO30YF,DEXUSEU,DEXJPUS,DEXUSUK,CBBTCUSD,CBETHUSD,T10YIE,DCOILBRENTEU,VIXCLS,DAAA,DBAA,NIKKEI225,AMERIBOR,T5YIE,BAMLH0A0HYM2,BAMLH0A0HYM2EY,DGS10,DGS1,RIFSPPFAAD90NB,DCPN3M,DCPF1M,DCOILWTICO,DHHNGSP,USRECD,USRECDM,USRECDP,Date,Open,High,Low,Close,Adj Close,Volume,Returns,Daily_Return,Typical_Price,Typical_Price_Return,Volume_Log,Volume_Differencing,Volume_Differencing_10,Volumne_Percent_Change,MA_5,Volumne_MA_200,Close_EMA_50,Momentum_AwesomeOscillatorIndicator,Momentum_KAMA,Momentum_PercentagePVolumneOscillator,Trend_ADX,Trend_AroonIndicator,Trend_CCI,Trend_DPO,Trend_EMA,Volumne_CMF,Volumne_EOM,Volumne_FI,Volatility_ATR,Volatility_BB,Volatility_DonchainChannel
0,2022-01-03,0.73,0.43,0.78,-1.17,0.6,0.0,-0.457452,4796.56,1.55,3.212,1.129,115.27,1.3469,46519.76,3772.86,2.6,78.25,16.6,2.79,3.45,29237.723930753567,0.14269,2.95,3.05,4.42,1.63,0.4,0.14,3.775271739130435,0.08,75.99,3.74,0.0,0.0,0.0,2022-01-03,338.29998779296875,341.0799865722656,337.19000244140625,338.5400085449219,338.1811828613281,14537900,0.09893535240598009,0.00027229063145215945,338.93666585286456,0.027793114490624805,16.492269590477814,10830.902111324376,-16059.9609375,0.06304828054436905,17.10241516103803,-0.12973835628470895,0.0,2.962716378090716,224.73831354989875,-1.827330846817624,0.0,15.418326693227092,23.67858066992382,-0.3151600832019607,222.20956133000743,0.012340141575273687,4.27840285249959,-23446052.99439563,0.0,20.717791883770783,20.20458740554534
1,2022-01-04,-0.29,-0.07,3.62,0.63,1.47,0.0,-0.470161,4793.54,1.58,3.286,1.1296,116.12,1.3544,45889.4,3787.96,2.57,79.39,16.91,2.82,3.5,29301.79,0.10545,2.93,3.09,4.46,1.66,0.38,3.50921511627907,3.775271739130435,0.09,77.0,3.73,0.0,0.0,0.0,2022-01-04,339.95001220703125,343.0899963378906,331.8699951171875,336.5299987792969,336.1733093261719,15998000,-2.00787353515625,-0.0059549672819096955,337.163330078125,-0.5245791604831851,16.587974272390905,1460100.0,-16059.9609375,0.10043403792844918,17.10241516103803,-0.12973835628470895,-0.002918107540599957,2.962716378090716,224.73831354989875,-1.827330846817624,0.0,15.418326693227092,23.67858066992382,-0.3151600832019607,222.20956133000743,0.012340141575273687,-116.07131093869933,-23446052.99439563,0.0,20.717791883770783,20.20458740554534
2,2022-01-05,-2.28,-0.94,2.6,1.41,1.22,0.0,-0.480353,4700.58,1.62,3.265,1.1335,115.91,1.3573,43422.85,3535.85,2.53,80.6,19.73,2.84,3.51,29332.16,0.10988,2.87,3.07,4.5,1.71,0.41,0.18,3.775271739130435,3.242937062937063,77.83,3.78,0.0,0.0,0.0,2022-01-05,333.0199890136719,335.760009765625,323.8399963378906,324.1700134277344,323.826416015625,20564500,-12.346893310546875,-0.03741920936209375,327.92333984375,-2.778761084986048,16.839076846197674,4566500.0,-16059.9609375,0.28544193024128006,17.10241516103803,-0.12973835628470895,-0.02618752248574907,2.962716378090716,224.73831354989875,-1.827330846817624,0.0,15.418326693227092,23.67858066992382,-0.3151600832019607,222.20956133000743,0.012340141575273687,-445.1633437244482,-23446052.99439563,0.0,20.717791883770783,20.20458740554534
3,2022-01-06,0.0,0.38,1.75,-0.55,-0.02,0.0,-0.488034,4696.05,1.63,3.399,1.1307,115.78,1.3539,43133.33,3414.52,2.46,81.99,19.61,2.81,3.51,28487.87,0.09537000000000001,2.77,3.15,4.62,1.73,0.45,0.16,3.775271739130435,0.06,79.47,3.94,0.0,0.0,0.0,2022-01-06,322.82000732421875,339.1700134277344,322.7200012207031,332.4599914550781,332.1076354980469,27962800,8.281219482421875,0.025251500494126944,331.4500020345052,1.0697113746793718,17.14638561337742,7398300.0,-16059.9609375,0.3597607527535316,17.10241516103803,-0.12973835628470895,-0.0009440166293304131,2.962716378090716,224.73831354989875,-1.827330846817624,0.0,15.418326693227092,23.67858066992382,-0.3151600832019607,222.20956133000743,0.012340141575273687,67.3585415590905,-23446052.99439563,0.0,20.717791883770783,20.20458740554534
4,2022-01-07,-0.48,-0.96,2.02,-0.12,0.85,0.0,-0.493205,4677.03,1.66,3.34,1.1358,115.61,1.3583,41656.16,3205.81,2.48,82.28,18.76,2.88,3.54,28478.56,0.09395,2.78,3.2,4.69,1.76,0.43,0.18,3.775271739130435,3.242937062937063,79.0,3.83,0.0,0.0,0.0,2022-01-07,332.739990234375,337.0,328.8800048828125,331.7900085449219,331.4383544921875,14722000,-0.669281005859375,-0.0020172866475656193,332.5566711425781,0.33333102736960996,16.504853531600787,-13240800.0,-16059.9609375,-0.47351481253665584,16.74707970657739,-0.12973835628470895,-0.002319113645795734,2.962716378090716,224.73831354989875,-1.827330846817624,0.0,15.418326693227092,23.67858066992382,-0.3151600832019607,222.20956133000743,0.012340141575273687,110.03498580610926,-23446052.99439563,0.0,20.717791883770783,20.20458740554534
5,2022-01-10,-0.15,-0.3,-0.28,-0.04,-0.38,0.0,-0.494772,4670.29,1.65,3.356,1.1328,115.14,1.3567,41872.47,3086.95,2.48,81.56,19.4,2.92,3.54,29237.723930753567,0.09284,2.77,3.24,4.76,1.78,0.46,0.2,3.775271739130435,3.242937062937063,78.11,4.16,0.0,0.0,0.0,2022-01-10,325.30999755859375,328.3399963378906,315.42999267578125,328.07000732421875,327.7222900390625,24942400,-3.716064453125,-0.011275259992959974,323.94666544596356,-2.62313956782414,17.03207972454055,10220400.0,-16059.9609375,0.6942263279445728,16.852285921595097,-0.12973835628470895,-0.011050654678382732,2.962716378090716,224.73831354989875,-1.827330846817624,0.0,15.418326693227092,23.67858066992382,-0.3151600832019607,222.20956133000743,0.012340141575273687,-572.1991184487096,-23446052.99439563,0.0,20.717791883770783,20.20458740554534
6,2022-01-11,1.1,-0.2,-0.3,-1.26,0.38,0.0,-0.492103,4713.07,1.64,3.344,1.1363,115.38,1.3622,42771.24,3245.06,2.54,84.98,18.41,2.86,3.51,28222.48,0.10342000000000001,2.87,3.18,4.67,1.75,0.46,0.21,3.775271739130435,3.242937062937063,81.17,4.16,0.0,0.0,0.0,2022-01-11,326.7799987792969,334.6300048828125,325.2799987792969,334.3699951171875,334.0155944824219,16226800,6.293304443359375,0.019021108913086948,331.4266662597656,2.2827677813313407,16.6021747543086,-8715600.0,-16059.9609375,-0.3494290846109436,16.854479508345236,-0.12973835628470895,0.0066569410754979685,2.962716378090716,224.73831354989875,-1.827330846817624,0.0,15.418326693227092,23.67858066992382,-0.3151600832019607,222.20956133000743,0.012340141575273687,464.9999860530795,-23446052.99439563,0.0,20.717791883770783,20.20458740554534
7,2022-01-12,0.12,-0.85,0.5,0.76,0.27,0.0,-0.488019,4726.35,1.62,3.294,1.1431,114.74,1.3698,43884.25,3371.01,2.48,85.83,17.62,2.86,3.51,28765.66,0.09931000000000001,2.82,3.06,4.54,1.74,0.48,0.17,3.775271739130435,3.242937062937063,82.51,4.62,0.0,0.0,0.0,2022-01-12,335.17999267578125,336.3699951171875,330.0299987792969,333.260009765625,332.90679931640625,14104900,-1.108795166015625,-0.0033251130804119455,333.2200012207031,0.5396368929912576,16.462032812708593,-2121900.0,-16059.9609375,-0.13076515394285992,16.790620648478004,-0.12973835628470895,0.002839175529784299,2.962716378090716,224.73831354989875,-1.827330846817624,0.0,15.418326693227092,23.67858066992382,-0.3151600832019607,222.20956133000743,0.012340141575273687,145.8589366776206,-23446052.99439563,0.0,20.717791883770783,20.20458740554534
8,2022-01-13,-1.57,0.86,2.41,1.17,1.01,0.0,-0.48252,4659.03,1.58,3.376,1.1464,114.06,1.3724,42617.64,3243.46,2.43,85.8,20.31,2.83,3.5,28489.13,0.10368000000000001,2.77,3.1,4.57,1.7,0.47,0.21,3.775271739130435,3.242937062937063,81.97,4.78,0.0,0.0,0.0,2022-01-13,334.9800109863281,335.6300048828125,325.760009765625,326.4800109863281,326.13397216796875,14797100,-6.7728271484375,-0.020554314356242998,329.2900085449219,-1.1864088739623746,16.509941773588483,692200.0,-16059.9609375,0.04907514409885927,16.6462879964335,-0.12973835628470895,-0.015320029102145916,2.962716378090716,224.73831354989875,-1.827330846817624,0.0,15.418326693227092,23.67858066992382,-0.3151600832019607,222.20956133000743,0.012340141575273687,-167.0883846004736,-23446052.99439563,0.0,20.717791883770783,20.20458740554534
9,2022-01-14,0.08,0.04,0.54,-0.84,0.48,0.0,-0.475602,4662.85,1.65,3.364,1.1414,113.89,1.367,43158.68,3318.23,2.44,87.17,19.19,2.92,3.57,28124.28,0.09775,2.79,3.09,4.62,1.78,0.51,3.50921511627907,3.775271739130435,3.242937062937063,83.82,4.37,0.0,0.0,0.0,2022-01-14,321.7900085449219,332.7300109863281,321.2099914550781,331.8999938964844,331.5482177734375,16868500,5.41424560546875,0.01646499784491784,328.6133321126302,-0.2057070177605702,16.640958535334814,2071400.0,-16059.9609375,0.13998688932290793,16.67128742042924,-0.12973835628470895,0.0009046603556728261,2.962716378090716,331.8999938964844,-1.827330846817624,0.0,15.418326693227092,23.67858066992382,-0.3151600832019607,222.20956133000743,0.012340141575273687,-254.39216922978014,-23446052.99439563,0.0,20.717791883770783,20.20458740554534
